Location,Temperature,Description,Wind,Date,Visibility,Pressure,Humidity,Dew point
"Weather in Accra, Ghana",Forecast: 85 / 79 °F,Clear.,9 mph ↑ from West,"Jun 2, 2026 at 7:00 am",5 mi,"29.89 ""Hg",84%,75 °F
"Weather in Edmonton, Alberta, Canada",Forecast: 50 / 47 °F,Rain showers. Low clouds.,10 mph ↑ from North,"Jun 2, 2026 at 2:13 am",12 mi,"30.26 ""Hg (27.83 ""Hg at 692m altitude)",94%,46 °F
"Weather in Nassau, Bahamas",Forecast: 88 / 78 °F,Overcast.,3 mph ↑ from Southwest,"Jun 2, 2026 at 4:00 am",N/A,"29.95 ""Hg",84%,75 °F
"Weather in Addis Ababa, Ethiopia",Forecast: 77 / 52 °F,Smoke.,7 mph ↑ from Southeast,"Jun 2, 2026 at 9:00 am",N/A,"30.39 ""Hg (23.10 ""Hg at 2354m altitude)",56%,52 °F
"Weather in Frankfurt, Hesse, Germany",Forecast: 69 / 56 °F,Sunny.,2 mph ↑ from North,"Jun 2, 2026 at 9:50 am",10 mi,"29.80 ""Hg",53%,52 °F
"Weather in New Delhi, Delhi, India",Forecast: 104 / 81 °F,Scattered clouds.,9 mph ↑ from Northeast,"Jun 2, 2026 at 11:30 am",2 mi,"29.70 ""Hg",49%,74 °F
"Weather in Adelaide, South Australia, Australia",Forecast: 58 / 51 °F,Cool.,9 mph ↑ from West,"Jun 2, 2026 at 5:08 pm",N/A,"29.37 ""Hg",83%,54 °F
"Weather in Guatemala City, Guatemala",Forecast: 77 / 64 °F,Passing clouds.,No wind,"Jun 2, 2026 at 2:00 am",5 mi,"30.12 ""Hg (25.18 ""Hg at 1533m altitude)",94%,64 °F
"Weather in New Orleans, Louisiana, USA",Forecast: 88 / 75 °F,Passing clouds.,10 mph ↑ from Southeast,"Jun 2, 2026 at 2:53 am",10 mi,"29.98 ""Hg",94%,74 °F
"Weather in Algiers, Algeria",Forecast: 79 / 63 °F,Sunny.,7 mph ↑ from South,"Jun 2, 2026 at 7:00 am",5 mi,"29.89 ""Hg",69%,66 °F
"Weather in Halifax, Nova Scotia, Canada",Forecast: 56 / 41 °F,Passing clouds.,5 mph ↑ from Southwest,"Jun 2, 2026 at 5:00 am",15 mi,"30.06 ""Hg",81%,37 °F
"Weather in New York, New York, USA",Forecast: 77 / 53 °F,Clear.,3 mph ↑ from Northwest,"Jun 2, 2026 at 3:51 am",10 mi,"30.17 ""Hg",83%,48 °F
"Weather in Almaty, Kazakhstan",Forecast: 81 / 60 °F,More clouds than sun.,6 mph ↑ from Northwest,"Jun 2, 2026 at 1:00 pm",N/A,"29.92 ""Hg (27.38 ""Hg at 790m altitude)",31%,54 °F
"Weather in Hanoi, Vietnam",Forecast: 101 / 83 °F,Scattered clouds.,7 mph ↑ from Southeast,"Jun 2, 2026 at 3:00 pm",N/A,"29.59 ""Hg",63%,81 °F
"Weather in Oslo, Norway",Forecast: 74 / 55 °F,Partly sunny.,7 mph ↑ from Southwest,"Jun 2, 2026 at 9:50 am",N/A,"29.77 ""Hg",82%,50 °F
"Weather in Amman, Jordan",Forecast: 86 / 62 °F,Clear.,7 mph ↑ from Southwest,"Jun 2, 2026 at 11:00 am",5 mi,"30.09 ""Hg (27.43 ""Hg at 816m altitude)",13%,27 °F
"Weather in Harare, Zimbabwe",Forecast: 74 / 46 °F,Haze.,9 mph ↑ from East,"Jun 2, 2026 at 8:00 am",4 mi,N/A,87%,53 °F
"Weather in Ottawa, Ontario, Canada",Forecast: 77 / 49 °F,Passing clouds.,5 mph ↑ from Northwest,"Jun 2, 2026 at 4:00 am",15 mi,"30.17 ""Hg",82%,43 °F
"Weather in Amsterdam, Netherlands",Forecast: 67 / 56 °F,Sprinkles. Passing clouds.,9 mph ↑ from South,"Jun 2, 2026 at 9:55 am",N/A,"29.65 ""Hg",73%,57 °F
"Weather in Havana, Cuba",Forecast: 87 / 77 °F,Passing clouds.,2 mph ↑ from North,"Jun 2, 2026 at 3:55 am",5 mi,"29.98 ""Hg",100%,75 °F
"Weather in Paris, Paris, France",Forecast: 68 / 55 °F,Light rain. Broken clouds.,10 mph ↑ from Southwest,"Jun 2, 2026 at 10:00 am",N/A,"29.77 ""Hg",94%,57 °F
"Weather in Anadyr, Russia",Forecast: 52 / 35 °F,Passing clouds.,13 mph ↑ from West,"Jun 2, 2026 at 6:00 pm",31 mi,"30.16 ""Hg",46%,36 °F
"Weather in Helsinki, Finland",Forecast: 59 / 48 °F,Passing clouds.,3 mph ↑ from North,"Jun 2, 2026 at 10:50 am",N/A,"29.89 ""Hg",59%,48 °F
"Weather in Perth, Western Australia, Australia",Forecast: 64 / 48 °F,Partly sunny.,16 mph ↑ from Southwest,"Jun 2, 2026 at 4:00 pm",N/A,"30.07 ""Hg",56%,46 °F
"Weather in Anchorage, Alaska, USA",Forecast: 62 / 45 °F,Overcast.,8 mph ↑ from South,"Jun 1, 2026 at 11:53 pm",10 mi,"30.31 ""Hg",57%,37 °F
"Weather in Hong Kong, Hong Kong",Forecast: 91 / 81 °F,Scattered clouds.,14 mph ↑ from Southwest,"Jun 2, 2026 at 4:00 pm",N/A,"29.65 ""Hg",71%,79 °F
"Weather in Philadelphia, Pennsylvania, USA",Forecast: 77 / 50 °F,Clear.,5 mph ↑ from Northeast,"Jun 2, 2026 at 3:54 am",10 mi,"30.20 ""Hg",77%,47 °F
"Weather in Ankara, Turkey",Forecast: 81 / 54 °F,Passing clouds.,5 mph ↑ from North,"Jun 2, 2026 at 10:50 am",N/A,"30.12 ""Hg (27.22 ""Hg at 871m altitude)",53%,52 °F
"Weather in Honolulu, Hawaii, USA",Forecast: 82 / 74 °F,Mostly cloudy.,12 mph ↑ from East,"Jun 1, 2026 at 9:53 pm",10 mi,"30.00 ""Hg",72%,69 °F
"Weather in Phoenix, Arizona, USA",Forecast: 105 / 77 °F,Passing clouds.,8 mph ↑ from West,"Jun 2, 2026 at 12:51 am",10 mi,"29.77 ""Hg",14%,33 °F
"Weather in Antananarivo, Madagascar",Forecast: 79 / 51 °F,Scattered clouds.,3 mph ↑ from North,"Jun 2, 2026 at 11:00 am",N/A,"30.27 ""Hg (26.11 ""Hg at 1287m altitude)",50%,55 °F
"Weather in Houston, Texas, USA",Forecast: 91 / 77 °F,Passing clouds.,No wind,"Jun 2, 2026 at 2:53 am",10 mi,"29.97 ""Hg",90%,76 °F
"Weather in Prague, Czechia",Forecast: 67 / 55 °F,Passing clouds.,8 mph ↑ from Southeast,"Jun 2, 2026 at 10:00 am",N/A,"29.92 ""Hg",56%,52 °F
"Weather in Asuncion, Paraguay",Forecast: 77 / 56 °F,Clear.,No wind,"Jun 2, 2026 at 5:00 am",10 mi,"30.09 ""Hg",88%,54 °F
"Weather in Indianapolis, Indiana, USA",Forecast: 77 / 57 °F,Clear.,20 mph ↑ from Northeast,"Jun 2, 2026 at 1:54 am",10 mi,"30.11 ""Hg",75%,53 °F
"Weather in Reykjavik, Iceland",Forecast: 55 / 47 °F,Partly sunny.,6 mph ↑ from Southeast,"Jun 2, 2026 at 8:00 am",N/A,"29.59 ""Hg",82%,48 °F
"Weather in Athens, Greece",Forecast: 84 / 60 °F,Passing clouds.,7 mph ↑ from West,"Jun 2, 2026 at 9:00 am",6 mi,"29.97 ""Hg",50%,56 °F
"Weather in Islamabad, Pakistan",Forecast: 101 / 78 °F,Overcast.,13 mph ↑ from Southeast,"Jun 2, 2026 at 11:00 am",2 mi,"29.73 ""Hg (27.95 ""Hg at 554m altitude)",39%,64 °F
"Weather in Rio de Janeiro, Rio de Janeiro, Brazil",Forecast: 74 / 68 °F,Partly cloudy.,8 mph ↑ from Northwest,"Jun 2, 2026 at 5:00 am",N/A,"30.12 ""Hg",88%,66 °F
